City,Population
St Johns,113948
Mount Pearl,22957
Grand Falls-Windsor,12046
Corner Brook,19547
Marystown,2697
Labrador City,8622
Charlottetown,44739
Wellington,90932
Southampton,3678
Halifax,316701
Port Hawkesburry,3214
Sydney,29904
Pictou,2711
Kentville,12088
Fredericton,59405
Saint John,58341
Moncton,108620
Bathurst,15557
Edmundston,12086
Montréal,3519595
Laval,437413
Longueuil,246855
Brossard,85721
Terrebonne,116319
Gatineau,284557
Québec,705103
Saint-Anicet,2626
Saint-Jean-Sur-Richelieu,98036
Lévis,143414
Ottawa,989567
Windsor,5248
Kingston,117660
Toronto,5429524
Mississauga,828854
Brampton,603346
Hamilton,693645
Sudbury,88054
Sault Ste Marie,73368
Thunder Bay,93952
London,383437
Sarnia,72125
Peterborough,82094
Cornwall,45723
St. Catharines,140370
Brantford,98179
Kitchener,470015
Oakville,211382
Oshawa,308875
Guelph,132397
North Bay,50396
Simcoe,13922
Burlington,205960
Grand Bend,2684
Barrie,145614
Newmarket,84224
Parry Sound,6321
Port Stanley,2148
Belleville,67666
Chatham,43550
Regina,214631
Saskatoon,245181
Prince Albert,35102
Estevan,11258
Swift Current,16022
Buffalo Narrows,1110
Edmonton,1062643
Sherwood Park,70618
Ardrossan,412
St. Albert,65589
Calgary,1237656
Airdrie,61082
Red Deer,99718
Medicine Hat,62935
Lethbridge,87572
Fort Saskatchewan,23895
Gibbons,2661
Redwater,1591
Bruderheim,1308
Fort Mcmurray,66573
Fort Mckay,742
Wapasu,0
Conklin,185
Elk Island,0
Tomahawk,65
Violet Grove,141
Beaverlodge,2327
Carrot Creek,15
Steeper,0
Fort Chipewyan,852
Caroline,512
Grande Prairie,62320
Lamont,1347
Breton,574
Edson,8148
Genesee,0
Hinton,9205
Cold Lake,6678
St Lina,0
Anzac,548
New Westminster,70996
Burnaby,249197
Port Moody,33551
Vancouver,2264823
North Vancouver,85395
Delta,110848
Surrey,518467
Richmond,4055
Coquitlam,140028
Agassiz,6704
Prince George,65510
Victoria,335696
Kamloops,78026
Kelowna,151957
Abbotsford,121279
Chilliwack,73161
Pitt Meadows,18573
Langley,25888
Hope,4067
Maple Ridge,82256
Squamish,17587
Quesnel,12064
Nanaimo,92004
Smithers,5351
Terrace,13663
Williams Lake,10508
Castlegar,9023
Mission,33261
Vernon,48073
Taylor,1373
Duncan,23278
Whistler,8713
Fort St John,20155
Courtenay,45018
Whitehorse,21732
Yellowknife,18884
Norman Wells,778
Inuvik,3140
Iqaluit,7082
Fort Smith,2031
