ID,Start time,Completion time,Email,Name,Total points,Quiz feedback,Which of the following is true about your experience with TeamUp! in tutorial?  (please select all that apply),Points - Which of the following is true about your experience with TeamUp! in tutorial?  (please select all that apply),Feedback - Which of the following is true about your experience with TeamUp! in tutorial?  (please select all that apply),Do you have any additional feedback about TeamUp! that you would like to share?,Points - Do you have any additional feedback about TeamUp! that you would like to share?,Feedback - Do you have any additional feedback about TeamUp! that you would like to share?,Do you read the weekly newsletter?,Points - Do you read the weekly newsletter?,Feedback - Do you read the weekly newsletter?,Which of the following is true for you about the newsletter? (choose as many options as apply),Points - Which of the following is true for you about the newsletter? (choose as many options as apply),Feedback - Which of the following is true for you about the newsletter? (choose as many options as apply),Any other feedback about the newsletter?,Points - Any other feedback about the newsletter?,Feedback - Any other feedback about the newsletter?,Why not? (you can select more than one response),Points - Why not? (you can select more than one response),Feedback - Why not? (you can select more than one response),Anything else you would like to share about the newsletter?,Points - Anything else you would like to share about the newsletter?,Feedback - Anything else you would like to share about the newsletter?,Did you attend the Study Skills workshop or watch the recording?,Points - Did you attend the Study Skills workshop or watch the recording?,Feedback - Did you attend the Study Skills workshop or watch the recording?,How useful did you find the Study Skills workshop?,Points - How useful did you find the Study Skills workshop?,Feedback - How useful did you find the Study Skills workshop?,Any other feedback about the Study Skills workshop?,Points - Any other feedback about the Study Skills workshop?,Feedback - Any other feedback about the Study Skills workshop?,Did you attend the Test #1 Debrief session or watch the recording?,Points - Did you attend the Test #1 Debrief session or watch the recording?,Feedback - Did you attend the Test #1 Debrief session or watch the recording?,How useful did you find the Test #1 Debrief session?,Points - How useful did you find the Test #1 Debrief session?,Feedback - How useful did you find the Test #1 Debrief session?,Any other feedback about the Test #1 Debrief session?,Points - Any other feedback about the Test #1 Debrief session?,Feedback - Any other feedback about the Test #1 Debrief session?,Anything else you would like to share with the CHM 135 teaching team?,Points - Anything else you would like to share with the CHM 135 teaching team?,Feedback - Anything else you would like to share with the CHM 135 teaching team?,Do you feel Lab #1 increased your confidence using Excel?,Points - Do you feel Lab #1 increased your confidence using Excel?,Feedback - Do you feel Lab #1 increased your confidence using Excel?,Do you feel Lab #1 increased your confidence analyzing data (e.g. interpreting trendlines and plots)?,Points - Do you feel Lab #1 increased your confidence analyzing data (e.g. interpreting trendlines and plots)?,Feedback - Do you feel Lab #1 increased your confidence analyzing data (e.g. interpreting trendlines and plots)?,Did the experience using Excel in Lab 1 help you to complete the necessary Excel calculations and graphs for the other CHM135 labs?,Points - Did the experience using Excel in Lab 1 help you to complete the necessary Excel calculations and graphs for the other CHM135 labs?,Feedback - Did the experience using Excel in Lab 1 help you to complete the necessary Excel calculations and graphs for the other CHM135 labs?,Any additional feedback on Lab 1 that you would like the teaching team to know? Both positive feedback and constructive criticism are welcome.,Points - Any additional feedback on Lab 1 that you would like the teaching team to know? Both positive feedback and constructive criticism are welcome.,Feedback - Any additional feedback on Lab 1 that you would like the teaching team to know? Both positive feedback and constructive criticism are welcome.
2,11-5-21 11:26:22,11-5-21 11:27:46,anonymous,,,,"I find it useful to see past test questions.
;I like working through problems with my peers.
;",,,,,,No,,,,,,,,,"I am overwhelmed with other things.
",,,,,,Yes,,,Neutral,,,,,,No,,,,,,,,,,,,It left me more confused then when I started,,,It left me more confused then when I started,,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
3,11-5-21 11:26:11,11-5-21 11:27:52,anonymous,,,,"I find it useful to see past test questions.
;I like working through problems with my peers.
;",,,N/A,,,"At least some of the time
",,,"I like the pictures!
;I like the weekly reminders.
;I like the advice from former students.
;I like the tips from the teaching team.
;The newsletter makes me feel more connected to the teaching team.
;The newsletter makes me feel more connected to the course.
;",,,N/A,,,,,,,,,No,,,,,,,,,No,,,,,,,,,,,,"Yes, I feel much more confident using Excel",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
4,11-5-21 11:26:56,11-5-21 11:27:54,anonymous,,,,"I find it useful to see past test questions.
;I like working through problems with my peers.
;I find the time allocated to TeamUp! too long.
;",,,,,,No,,,,,,,,,"Didn't seem useful
",,,,,,No,,,,,,,,,Yes,,,Extremely useful,,,,,,,,,"Yes, I feel much more confident using Excel",,,"Yes, but I was already quite confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
5,11-5-21 11:27:10,11-5-21 11:28:00,anonymous,,,,"I find it useful to see past test questions.
;",,,,,,No,,,,,,,,,"I am overwhelmed with other things.
",,,,,,No,,,,,,,,,No,,,,,,,,,,,,"Yes, but I was already quite confident",,,Not really,,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
6,11-5-21 11:26:49,11-5-21 11:28:06,anonymous,,,,"I like working through problems with my peers.
;It has let me get to know some of my classmates.
;",,,,,,No,,,,,,,,,"Didn't seem useful
",,,,,,Yes,,,Somewhat useful,,,,,,Yes,,,Extremely useful,,,,,,,,,"Yes, but I was already quite confident",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 was helpful but I was already quite comfortable with Excel",,,,,
7,11-5-21 11:26:47,11-5-21 11:28:06,anonymous,,,,"I find it useful to see past test questions.
;I find the time allocated to TeamUp! too short.;It's frustrating because other people in my group don't turn on their camera and/or unmute.
;It has let me get to know some of my classmates.
;",,,,,,"At least some of the time
",,,"I like the pictures!
;I like the weekly reminders.
;",,,,,,,,,,,,No,,,,,,,,,No,,,,,,,,,,,,"Yes, I feel much more confident using Excel",,,Not really,,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
8,11-5-21 11:26:57,11-5-21 11:28:08,anonymous,,,,"I find it useful to see past test questions.
;I like working through problems with my peers.
;",,,,,,No,,,,,,,,,"Didn't seem useful
",,,,,,Yes,,,Somewhat useful,,,,,,Yes,,,Neutral,,,,,,,,,"Yes, I feel much more confident using Excel",,,"Yes, but I was already quite confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
9,11-5-21 11:27:28,11-5-21 11:28:09,anonymous,,,,"I like working through problems with my peers.
;I find it useful to see past test questions.
;",,,,,,No,,,,,,,,,"I am overwhelmed with other things.
",,,,,,No,,,,,,,,,No,,,,,,,,,,,,"Yes, I feel much more confident using Excel",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
10,11-5-21 11:26:38,11-5-21 11:28:10,anonymous,,,,"I find it useful to see past test questions.
;I like working through problems with my peers.
;I find the time allocated to TeamUp! too short.;",,,,,,"At least some of the time
",,,"I like the pictures!
;I like the weekly reminders.
;I like the tips from the teaching team.
;I like the advice from former students.
;",,,,,,,,,,,,Yes,,,Somewhat useful,,,,,,Yes,,,Extremely useful,,,,,,,,,"Yes, but I was already quite confident",,,"Yes, but I was already quite confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
11,11-5-21 11:27:15,11-5-21 11:28:26,anonymous,,,,"I find it useful to see past test questions.
;I like working through problems with my peers.
;It has let me get to know some of my classmates.
;",,,,,,No,,,,,,,,,"I am overwhelmed with other things.
",,,,,,No,,,,,,,,,No,,,,,,,,,,,,"Yes, I feel much more confident using Excel",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
