"Date","NO2","O3"
43289,24,9
43289.0416666667,16,14
43289.0833333333,9,22
43289.125,-999,-999
43289.1666666667,15,10
43289.2083333333,19,8
43289.25,12,14
43289.2916666667,9,24
43289.3333333333,8,29
43289.375,6,35
43289.4166666667,5,40
43289.4583333333,4,41
43289.5,3,40
43289.5416666667,4,48
43289.5833333333,4,51
43289.625,3,48
43289.6666666667,3,50
43289.7083333333,3,46
43289.75,3,42
43289.7916666667,4,41
43289.8333333333,6,39
43289.875,10,36
43289.9166666667,13,31
43289.9583333333,13,29
43290,14,26
43290.0416666667,15,27
43290.0833333333,11,32
43290.125,9,34
43290.1666666667,18,22
43290.2083333333,29,15
43290.25,27,21
43290.2916666667,29,23
43290.3333333333,23,34
43290.375,20,37
43290.4166666667,16,46
43290.4583333333,11,61
43290.5,8,72
43290.5416666667,7,69
43290.5833333333,6,69
43290.625,6,68
43290.6666666667,7,68
43290.7083333333,7,68
43290.75,6,64
43290.7916666667,9,56
43290.8333333333,8,58
43290.875,7,56
43290.9166666667,7,55
43290.9583333333,7,56
43291,7,55
43291.0416666667,9,48
43291.0833333333,10,46
43291.125,7,47
43291.1666666667,9,42
43291.2083333333,12,34
43291.25,10,30
43291.2916666667,11,25
43291.3333333333,8,25
43291.375,6,28
43291.4166666667,6,29
43291.4583333333,7,31
43291.5,6,30
43291.5416666667,5,28
43291.5833333333,6,29
43291.625,6,28
43291.6666666667,6,28
43291.7083333333,5,28
43291.75,5,25
43291.7916666667,6,24
43291.8333333333,6,23
43291.875,6,23
43291.9166666667,6,23
43291.9583333333,4,23
43292,4,22
43292.0416666667,4,21
43292.0833333333,5,20
43292.125,5,19
43292.1666666667,9,15
43292.2083333333,15,10
43292.25,15,10
43292.2916666667,11,16
43292.3333333333,5,23
43292.375,4,27
43292.4166666667,5,28
43292.4583333333,6,26
43292.5,5,27
43292.5416666667,6,30
43292.5833333333,-999,-999
43292.625,3,34
43292.6666666667,4,36
43292.7083333333,4,-999
43292.75,6,39
43292.7916666667,11,37
43292.8333333333,12,32
43292.875,10,19
43292.9166666667,10,19
43292.9583333333,7,22
43293,8,20
43293.0416666667,5,23
43293.0833333333,5,23
43293.125,5,21
43293.1666666667,10,17
43293.2083333333,17,9
43293.25,21,10
43293.2916666667,15,17
43293.3333333333,14,20
43293.375,8,26
43293.4166666667,15,30
43293.4583333333,16,37
43293.5,6,40
43293.5416666667,4,37
43293.5833333333,5,38
43293.625,3,34
43293.6666666667,3,31
43293.7083333333,5,41
43293.75,8,44
43293.7916666667,9,37
43293.8333333333,14,28
43293.875,13,28
43293.9166666667,13,23
43293.9583333333,11,24
43294,16,18
43294.0416666667,18,14
43294.0833333333,14,15
43294.125,11,18
43294.1666666667,18,10
43294.2083333333,22,8
43294.25,19,11
43294.2916666667,10,22
43294.3333333333,6,31
43294.375,5,41
43294.4166666667,6,48
43294.4583333333,5,43
43294.5,5,40
43294.5416666667,5,44
43294.5833333333,4,47
43294.625,4,47
43294.6666666667,4,47
43294.7083333333,4,47
43294.75,3,54
43294.7916666667,4,53
43294.8333333333,6,49
43294.875,5,43
43294.9166666667,12,35
43294.9583333333,15,33
43295,10,38
43295.0416666667,13,35
43295.0833333333,12,37
43295.125,13,35
43295.1666666667,16,36
43295.2083333333,15,36
43295.25,19,31
43295.2916666667,22,29
43295.3333333333,17,38
43295.375,11,48
43295.4166666667,9,-999
43295.4583333333,11,57
43295.5,14,54
43295.5416666667,16,53
43295.5833333333,16,53
43295.625,14,54
43295.6666666667,10,60
43295.7083333333,11,54
43295.75,9,52
43295.7916666667,12,46
43295.8333333333,14,38
43295.875,12,36
43295.9166666667,19,25
43295.9583333333,17,23
