"V1","NAPS","Population","PopSize","Latitude","Longitude"
1,"St Johns, NL, NAPS: 10102",113948,"large",47.56038,-52.71147
2,"Mount Pearl, NL, NAPS: 10401",22957,"small",47.50513,-52.79476
3,"Grand Falls-Windsor, NL, NAPS: 10501",12046,"small",48.92696,-55.65966
4,"Corner Brook, NL, NAPS: 10602",19547,"small",48.95224,-57.92207
5,"Marystown, NL, NAPS: 10901",2697,"small",47.09899,-55.19852
6,"Labrador City, NL, NAPS: 11002",8622,"small",52.945487,-66.910306
7,"Charlottetown, PE, NAPS: 20104",44739,"medium",46.233,-63.13667
8,"Wellington, PE, NAPS: 20301",90932,"medium",46.47843,-63.98763
9,"Southampton, PE, NAPS: 20401",3678,"small",46.38635,-62.58272
10,"Halifax, NS, NAPS: 30113",316701,"large",44.64711,-63.57366
11,"Halifax, NS, NAPS: 30118",316701,"large",44.646425,-63.573383
12,"Halifax, NS, NAPS: 30120",316701,"large",44.719799,-63.480754
13,"Port Hawkesburry, NS, NAPS: 30201",3214,"small",45.6141612,-61.3623563
14,"Sydney, NS, NAPS: 30310",29904,"small",46.14222,-60.17252
15,"Pictou, NS, NAPS: 30901",2711,"small",45.68167,-62.69664
16,"Kentville, NS, NAPS: 31101",12088,"small",45.06725,-64.47743
17,"Fredericton, NB, NAPS: 40104",59405,"medium",45.957289,-66.645236
18,"Saint John, NB, NAPS: 40203",58341,"medium",45.308762,-66.008384
19,"Saint John, NB, NAPS: 40207",58341,"medium",45.252898,-66.080065
20,"Saint John, NB, NAPS: 40209",58341,"medium",45.28028,-66.05611
21,"Moncton, NB, NAPS: 40302",108620,"large",46.101578,-64.789661
22,"Bathurst, NB, NAPS: 41302",15557,"small",47.609693,-65.633509
23,"Edmundston, NB, NAPS: 41501",12086,"small",47.363195,-68.322302
24,"Montréal, QC, NAPS: 50103",3519595,"large",45.641026,-73.499682
25,"Montréal, QC, NAPS: 50109",3519595,"large",45.502648,-73.663913
26,"Laval, QC, NAPS: 50113",437413,"large",45.547463,-73.7483166
27,"Longueuil, QC, NAPS: 50119",246855,"large",45.52207,-73.4881
28,"Brossard, QC, NAPS: 50122",85721,"medium",45.448663,-73.480819
29,"Montréal, QC, NAPS: 50126",3519595,"large",45.426542,-73.928929
30,"Montréal, QC, NAPS: 50128",3519595,"large",45.468322,-73.741198
31,"Montréal, QC, NAPS: 50134",3519595,"large",45.54271,-73.57176
32,"Montréal, QC, NAPS: 50135",3519595,"large",45.5934,-73.63726
33,"Montréal, QC, NAPS: 50136",3519595,"large",45.512189,-73.566842
34,"Terrebonne, QC, NAPS: 50137",116319,"large",45.70476,-73.65776
35,"Montréal, QC, NAPS: 50138",3519595,"large",45.464611,-73.582583
