NAPS,Time,O3,NO2
 60410,2020-01-01T00:00:00Z,27,6
 60410,2020-01-01T01:00:00Z,27,6
 60410,2020-01-01T02:00:00Z,27,6
 60410,2020-01-01T03:00:00Z,-999,-999
 60410,2020-01-01T04:00:00Z,26,6
 60410,2020-01-01T05:00:00Z,27,5
 60410,2020-01-01T06:00:00Z,26,6
 60410,2020-01-01T07:00:00Z,25,7
 60410,2020-01-01T08:00:00Z,26,7
 60410,2020-01-01T09:00:00Z,27,5
 60410,2020-01-01T10:00:00Z,26,6
 60410,2020-01-01T11:00:00Z,27,5
 60410,2020-01-01T12:00:00Z,29,5
 60410,2020-01-01T13:00:00Z,33,5
 60410,2020-01-01T14:00:00Z,36,4
 60410,2020-01-01T15:00:00Z,35,5
 60410,2020-01-01T16:00:00Z,33,7
 60410,2020-01-01T17:00:00Z,31,9
 60410,2020-01-01T18:00:00Z,27,12
 60410,2020-01-01T19:00:00Z,23,14
 60410,2020-01-01T20:00:00Z,25,11
 60410,2020-01-01T21:00:00Z,22,12
 60410,2020-01-01T22:00:00Z,16,18
 60410,2020-01-01T23:00:00Z,12,21
 60410,2020-01-02T00:00:00Z,17,16
 60410,2020-01-02T01:00:00Z,17,16
 60410,2020-01-02T02:00:00Z,22,11
 60410,2020-01-02T03:00:00Z,19,13
 60410,2020-01-02T04:00:00Z,20,12
 60410,2020-01-02T05:00:00Z,21,12
 60410,2020-01-02T06:00:00Z,18,15
 60410,2020-01-02T07:00:00Z,17,17
 60410,2020-01-02T08:00:00Z,20,15
 60410,2020-01-02T09:00:00Z,21,14
 60410,2020-01-02T10:00:00Z,23,11
 60410,2020-01-02T11:00:00Z,21,14
 60410,2020-01-02T12:00:00Z,22,13
 60410,2020-01-02T13:00:00Z,24,12
 60410,2020-01-02T14:00:00Z,23,13
 60410,2020-01-02T15:00:00Z,23,13
 60410,2020-01-02T16:00:00Z,21,14
 60410,2020-01-02T17:00:00Z,21,15
 60410,2020-01-02T18:00:00Z,20,15
 60410,2020-01-02T19:00:00Z,19,16
 60410,2020-01-02T20:00:00Z,16,19
 60410,2020-01-02T21:00:00Z,16,18
 60410,2020-01-02T22:00:00Z,19,15
