"","time","O3","NO2","Ox"
"1",2018-01-01,12,32,44
"2",2018-01-01,6,41,47
"3",2018-01-01,1,46,47
"4",2018-01-01,4,40,44
"5",2018-01-01,12,31,43
"6",2018-01-01,5,41,46
"7",2018-01-01,6,41,47
"8",2018-01-01,9,35,44
"9",2018-01-01,12,31,43
"10",2018-01-01,20,20,40
"11",2018-01-01,31,8,39
"12",2018-01-01,32,7,39
"13",2018-01-01,32,8,40
"14",2018-01-01,31,10,41
"15",2018-01-01,33,7,40
"16",2018-01-01,32,5,37
"17",2018-01-01,33,5,38
"18",2018-01-01,31,7,38
"19",2018-01-01,30,9,39
"20",2018-01-01,30,10,40
"21",2018-01-01,30,10,40
"22",2018-01-01,23,18,41
"23",2018-01-01,18,23,41
"24",2018-01-01,6,37,43
"25",2018-01-02,2,41,43
"26",2018-01-02,14,28,42
"27",2018-01-02,20,20,40
"28",2018-01-02,20,18,38
"29",2018-01-02,19,19,38
"30",2018-01-02,21,18,39
"31",2018-01-02,28,10,38
"32",2018-01-02,26,12,38
"33",2018-01-02,20,20,40
"34",2018-01-02,21,19,40
"35",2018-01-02,21,18,39
"36",2018-01-02,20,19,39
"37",2018-01-02,21,18,39
"38",2018-01-02,23,17,40
"39",2018-01-02,21,19,40
"40",2018-01-02,23,18,41
"41",2018-01-02,23,17,40
"42",2018-01-02,22,16,38
"43",2018-01-02,19,20,39
"44",2018-01-02,21,17,38
"45",2018-01-02,22,16,38
"46",2018-01-02,21,17,38
"47",2018-01-02,22,15,37
"48",2018-01-02,18,20,38
"49",2018-01-03,22,16,38
"50",2018-01-03,27,14,41
"51",2018-01-03,24,16,40
"52",2018-01-03,25,16,41
"53",2018-01-03,25,16,41
"54",2018-01-03,25,16,41
"55",2018-01-03,30,12,42
"56",2018-01-03,28,16,44
"57",2018-01-03,21,22,43
"58",2018-01-03,24,15,39
"59",2018-01-03,25,14,39
"60",2018-01-03,25,15,40
"61",2018-01-03,25,15,40
"62",2018-01-03,21,18,39
"63",2018-01-03,24,15,39
"64",2018-01-03,26,13,39
"65",2018-01-03,26,14,40
"66",2018-01-03,22,16,38
"67",2018-01-03,19,19,38
"68",2018-01-03,19,18,37
"69",2018-01-03,18,17,35
"70",2018-01-03,15,19,34
"71",2018-01-03,13,21,34
"72",2018-01-03,12,21,33
"73",2018-01-04,12,21,33
"74",2018-01-04,9,23,32
"75",2018-01-04,6,26,32
